Country,Product,Total_Revenue,Total_Boxes,Revenue_Per_Box
Australia,Organic Choco Syrup,60445,1693,35.7028942705257
USA,85% Dark Bars,57197,1605,35.63676012461059
UK,Manuka Honey Choco,42602,1202,35.44259567387687
UK,White Choc,67683,1929,35.08709175738725
Canada,Spicy Special Slims,58051,1659,34.9915611814346
New Zealand,Orange Choco,30758,885,34.75480225988701
UK,After Nines,34524,999,34.55855855855856
USA,Smooth Sliky Salty,45493,1320,34.464393939393936
Australia,Orange Choco,59717,1733,34.458742065781884
New Zealand,Mint Chip Choco,86709,2537,34.177769018525815
Australia,Smooth Sliky Salty,45269,1326,34.139517345399696
New Zealand,Manuka Honey Choco,49889,1476,33.800135501355015
Australia,Milk Bars,61173,1821,33.593080724876444
Canada,Manuka Honey Choco,50589,1523,33.2166776099803
USA,70% Dark Bites,20580,631,32.614896988906494
UK,Raspberry Choco,43421,1350,32.1637037037037
Australia,85% Dark Bars,38479,1200,32.06583333333333
Australia,Manuka Honey Choco,45969,1439,31.945100764419735
USA,50% Dark Bites,57442,1805,31.82382271468144
Canada,Fruit & Nut Bars,49924,1569,31.818992989165075
USA,Orange Choco,49042,1545,31.74239482200647
India,After Nines,58758,1874,31.354322305229456
Canada,After Nines,41993,1350,31.105925925925927
Canada,99% Dark & Pure,44198,1427,30.972669936930625
UK,Eclairs,39277,1273,30.853888452474468
Australia,After Nines,27769,912,30.448464912280702
Canada,Smooth Sliky Salty,68257,2271,30.055922501100838
New Zealand,Smooth Sliky Salty,39004,1306,29.86523736600306
Canada,Orange Choco,51156,1719,29.759162303664922
Australia,Spicy Special Slims,61005,2050,29.758536585365853
Australia,Drinking Coco,52199,1797,29.04785754034502
India,99% Dark & Pure,41923,1455,28.813058419243987
Australia,50% Dark Bites,89222,3182,28.039597737272157
Canada,Organic Choco Syrup,36631,1314,27.877473363774733
USA,Peanut Butter Cubes,33628,1209,27.814722911497103
New Zealand,Milk Bars,36855,1335,27.60674157303371
New Zealand,Organic Choco Syrup,53074,1952,27.18954918032787
New Zealand,Caramel Stuffed Bars,34013,1256,27.080414012738853
UK,Drinking Coco,41384,1531,27.03069888961463
New Zealand,Raspberry Choco,32592,1218,26.75862068965517
USA,99% Dark & Pure,47894,1792,26.7265625
UK,50% Dark Bites,50092,1943,25.780751415337107
New Zealand,Drinking Coco,31157,1213,25.68590272052762
UK,Milk Bars,57036,2251,25.338071968014216
Canada,Drinking Coco,47964,1980,24.224242424242423
USA,After Nines,42588,1806,23.58139534883721
USA,Fruit & Nut Bars,48377,2061,23.472586123241147
UK,Caramel Stuffed Bars,51233,2184,23.458333333333332
Canada,Choco Coated Almonds,57463,2452,23.43515497553018
India,70% Dark Bites,34713,1511,22.973527465254797
India,Milk Bars,24206,1069,22.64359214218896
UK,Organic Choco Syrup,25284,1120,22.575
India,Baker's Choco Chips,27510,1265,21.74703557312253
India,Caramel Stuffed Bars,35427,1635,21.667889908256882
Australia,Almond Choco,46879,2174,21.563477460901563
India,Choco Coated Almonds,27958,1328,21.052710843373493
UK,Mint Chip Choco,25536,1240,20.593548387096774
India,White Choc,32886,1629,20.1878453038674
India,Orange Choco,23219,1152,20.155381944444443
India,Fruit & Nut Bars,18368,953,19.273871983210913
India,Manuka Honey Choco,18760,991,18.93037336024218
UK,Baker's Choco Chips,39018,2081,18.749639596347908
Australia,70% Dark Bites,39354,2103,18.713266761768903
USA,Spicy Special Slims,25214,1385,18.205054151624548
New Zealand,Peanut Butter Cubes,31374,1806,17.372093023255815
Canada,Caramel Stuffed Bars,33376,2020,16.522772277227723
UK,70% Dark Bites,20713,1259,16.451945988880063
Canada,Mint Chip Choco,15547,1088,14.289522058823529
Canada,Raspberry Choco,12873,971,13.257466529351184
Canada,Eclairs,24325,2101,11.577820085673489
