Product,Country,Product_Revenue,Country_Revenue,Contribution_Percent
White Choc,Canada,46095,962899,4.787106435877491
50% Dark Bites,UK,50092,1051792,4.762538600787988
Orange Choco,USA,49042,1035349,4.736760261515682
Almond Choco,USA,48650,1035349,4.698898632248643
50% Dark Bites,Canada,45115,962899,4.685330444833778
Fruit & Nut Bars,USA,48377,1035349,4.672530711866241
Fruit & Nut Bars,Australia,53088,1137367,4.667622675882103
Milk Bars,USA,48251,1035349,4.660360902458978
Raspberry Choco,Australia,52829,1137367,4.644850782553037
99% Dark & Pure,USA,47894,1035349,4.625879775805067
99% Dark & Pure,Canada,44198,962899,4.590097196071447
Drinking Coco,Australia,52199,1137367,4.589459690671525
Mint Chip Choco,Australia,50701,1137367,4.4577519833088175
Smooth Sliky Salty,USA,45493,1035349,4.39397729654445
Drinking Coco,India,45892,1045800,4.388219544846051
Eclairs,USA,45192,1035349,4.364904974071545
Almond Choco,Canada,42028,962899,4.364736073046083
After Nines,Canada,41993,962899,4.361101216223093
Milk Bars,Canada,41727,962899,4.333476304368371
Raspberry Choco,UK,43421,1051792,4.128287722287296
Almond Choco,Australia,46879,1137367,4.121712692560976
After Nines,USA,42588,1035349,4.113395579654783
Smooth Sliky Salty,New Zealand,39004,950418,4.103878503984562
Baker's Choco Chips,USA,42420,1035349,4.097169167111766
Manuka Honey Choco,UK,42602,1051792,4.050420615482909
Manuka Honey Choco,Australia,45969,1137367,4.041703337621014
Choco Coated Almonds,USA,41741,1035349,4.031587416417073
Fruit & Nut Bars,UK,42266,1051792,4.018475135768289
Orange Choco,UK,42252,1051792,4.017144074113513
99% Dark & Pure,India,41923,1045800,4.008701472556894
Smooth Sliky Salty,Australia,45269,1137367,3.9801576799748895
85% Dark Bars,UK,41447,1051792,3.9406080289639016
85% Dark Bars,Canada,37926,962899,3.938730853391685
Drinking Coco,UK,41384,1051792,3.9346182515174104
70% Dark Bites,New Zealand,37226,950418,3.9168029225035723
Milk Bars,New Zealand,36855,950418,3.8777674665252553
Organic Choco Syrup,Canada,36631,962899,3.8042411509410643
Spicy Special Slims,New Zealand,36127,950418,3.801169590643275
Baker's Choco Chips,Canada,36456,962899,3.7860668668261157
Raspberry Choco,India,39501,1045800,3.7771084337349397
Eclairs,UK,39277,1051792,3.734293472473645
50% Dark Bites,New Zealand,35294,950418,3.7135239442013934
Baker's Choco Chips,UK,39018,1051792,3.709668831860292
Drinking Coco,USA,38059,1035349,3.6759585415159526
Caramel Stuffed Bars,USA,37590,1035349,3.6306598065000304
Peanut Butter Cubes,Australia,41055,1137367,3.609652820945218
Caramel Stuffed Bars,New Zealand,34013,950418,3.578741143370601
Spicy Special Slims,UK,37562,1051792,3.5712384197636036
Caramel Stuffed Bars,Australia,39949,1137367,3.512410681864341
Mint Chip Choco,USA,36323,1035349,3.508285611904778
Caramel Stuffed Bars,Canada,33376,962899,3.4661994664030185
70% Dark Bites,Australia,39354,1137367,3.460096872865135
Raspberry Choco,New Zealand,32592,950418,3.4292279817932743
Caramel Stuffed Bars,India,35427,1045800,3.387550200803213
85% Dark Bars,Australia,38479,1137367,3.383164800807479
99% Dark & Pure,New Zealand,31773,950418,3.343055371426046
70% Dark Bites,India,34713,1045800,3.319277108433735
Peanut Butter Cubes,New Zealand,31374,950418,3.3010738432984224
Choco Coated Almonds,Australia,37345,1137367,3.283460835420757
After Nines,UK,34524,1051792,3.2823980406772444
Drinking Coco,New Zealand,31157,950418,3.2782417841412936
Peanut Butter Cubes,USA,33628,1035349,3.247986910693882
Orange Choco,New Zealand,30758,950418,3.23626025601367
White Choc,India,32886,1045800,3.144578313253012
Almond Choco,New Zealand,29211,950418,3.0734897697644614
Choco Coated Almonds,India,27958,1045800,2.673360107095047
Baker's Choco Chips,India,27510,1045800,2.6305220883534135
Eclairs,Canada,24325,962899,2.526225491977871
After Nines,Australia,27769,1137367,2.44151623882177
Spicy Special Slims,USA,25214,1035349,2.435314082497786
Mint Chip Choco,UK,25536,1051792,2.427856458311149
Organic Choco Syrup,UK,25284,1051792,2.4038973485251836
Milk Bars,India,24206,1045800,2.3145917001338687
Orange Choco,India,23219,1045800,2.2202141900937082
Choco Coated Almonds,New Zealand,20888,950418,2.1977698233829748
70% Dark Bites,USA,20580,1035349,1.9877355365195697
70% Dark Bites,UK,20713,1051792,1.9693057182408689
Manuka Honey Choco,India,18760,1045800,1.7938420348058903
Fruit & Nut Bars,India,18368,1045800,1.7563587684069613
Mint Chip Choco,Canada,15547,962899,1.6146034007720436
Raspberry Choco,Canada,12873,962899,1.3369003394956274
